           columna           |         tenantId          | filas |    suma     | residuo_float | filas_con_residuo 
-----------------------------+---------------------------+-------+-------------+---------------+-------------------
 Appointment.discountAmount  | cmuf1ub190000vu7d06np040t |   544 |   196350.00 |          0.00 |                 0
 Appointment.priceAtBooking  | cmuf1ub190000vu7d06np040t |   544 | 16935650.00 |          0.00 |                 0
 CashMovement.amount         | cmrhv1kwk0018ww7dsn4r2df2 |   639 | 43704708.04 |          0.00 |                 0
 CashMovement.amount         | cmrhw45s7001yww7dshs68gpr |  1479 | 95724494.60 |          0.00 |                 0
 CashMovement.amount         | cmrhx6qo6003bww7dtgtbxgk5 |   974 | 60656955.60 |          0.00 |                 0
 CashMovement.amount         | cmrj8c9s7004rww7d1ino07pg |   417 | 16560590.00 |          0.00 |                 0
 CashMovement.amount         | cmrj9euo4005hww7du06r0nrj |   264 | 38398170.00 |          0.00 |                 0
 CashMovement.amount         | cmuf1ub190000vu7d06np040t |   560 | 26574867.50 |          0.00 |                 0
 CashSession.closingCounted  | cmrhv1kwk0018ww7dsn4r2df2 |    61 |  9644784.76 |          0.00 |                 0
 CashSession.closingCounted  | cmrhw45s7001yww7dshs68gpr |    61 | 21463365.40 |          0.00 |                 0
 CashSession.closingCounted  | cmrhx6qo6003bww7dtgtbxgk5 |    52 | 13146513.80 |          0.00 |                 0
 CashSession.closingCounted  | cmrj8c9s7004rww7d1ino07pg |    52 |  3408930.00 |          0.00 |                 0
 CashSession.closingCounted  | cmrj9euo4005hww7du06r0nrj |    43 |  3023200.00 |          0.00 |                 0
 CashSession.closingDiff     | cmrhv1kwk0018ww7dsn4r2df2 |    61 |    -1200.00 |          0.00 |                 0
 CashSession.closingDiff     | cmrhw45s7001yww7dshs68gpr |    61 |   -10207.20 |          0.00 |                 0
 CashSession.closingDiff     | cmrhx6qo6003bww7dtgtbxgk5 |    52 |     -700.30 |          0.00 |                 0
 CashSession.closingDiff     | cmrj8c9s7004rww7d1ino07pg |    52 |    42300.00 |          0.00 |                 0
 CashSession.closingDiff     | cmrj9euo4005hww7du06r0nrj |    43 |    -2900.00 |          0.00 |                 0
 CashSession.closingExpected | cmrhv1kwk0018ww7dsn4r2df2 |    61 |  9645984.76 |          0.00 |                 0
 CashSession.closingExpected | cmrhw45s7001yww7dshs68gpr |    61 | 21473572.60 |          0.00 |                 0
 CashSession.closingExpected | cmrhx6qo6003bww7dtgtbxgk5 |    52 | 13147214.10 |          0.00 |                 0
 CashSession.closingExpected | cmrj8c9s7004rww7d1ino07pg |    52 |  3366630.00 |          0.00 |                 0
 CashSession.closingExpected | cmrj9euo4005hww7du06r0nrj |    43 |  3026100.00 |          0.00 |                 0
 CashSession.openingFloat    | cmrhv1kwk0018ww7dsn4r2df2 |    61 |  1220000.00 |          0.00 |                 0
 CashSession.openingFloat    | cmrhw45s7001yww7dshs68gpr |    61 |  1830000.00 |          0.00 |                 0
 CashSession.openingFloat    | cmrhx6qo6003bww7dtgtbxgk5 |    53 |  1362065.00 |          0.00 |                 0
 CashSession.openingFloat    | cmrj8c9s7004rww7d1ino07pg |    52 |   780000.00 |          0.00 |                 0
 CashSession.openingFloat    | cmrj9euo4005hww7du06r0nrj |    43 |   860000.00 |          0.00 |                 0
